iter	RMSE
0	20632.85442
1	18764.79569
2	17096.9234
3	15636.24986
4	14322.00891
5	13165.65952
6	12140.87149
7	11239.40873
8	10459.53765
9	9725.614334
10	9090.176384
11	8533.468895
12	8055.994961
13	7659.999973
14	7310.956216
15	7010.040777
16	6753.858278
17	6541.524286
18	6365.150563
19	6213.00854
20	6074.893499
21	5961.119617
22	5866.75438
23	5788.386453
24	5713.279829
25	5614.801887
26	5553.863754
27	5485.171994
28	5411.750227
29	5362.776071
30	5321.86899
31	5291.630069
32	5264.247142
33	5235.870802
34	5214.187131
35	5193.050694
36	5148.566414
37	5120.779112
38	5077.355174
39	5058.531976
40	5046.218101
41	5027.044578
42	5000.826384
43	4977.864102
44	4963.0839
45	4936.777466
46	4927.870836
47	4916.657771
48	4909.288451
49	4887.268868
50	4872.460453
51	4864.066449
52	4856.556807
53	4842.594769
54	4836.055492
55	4819.621445
56	4801.47283
57	4780.800629
58	4776.237282
59	4771.258411
60	4754.554183
61	4739.571546
62	4735.024108
63	4721.8552
64	4716.665277
65	4712.416566
66	4709.413622
67	4703.197455
68	4697.987991
69	4684.606966
70	4678.150773
71	4668.145213
72	4660.827277
73	4653.604961
74	4650.172541
75	4644.658091
76	4640.679716
77	4627.311699
78	4613.640804
79	4609.10896
80	4603.797461
81	4593.036144
82	4590.075252
83	4584.330753
84	4579.635717
85	4576.852807
86	4572.950817
87	4569.249536
88	4564.059133
89	4560.410586
90	4552.073169
91	4549.180564
92	4547.805532
93	4539.012425
94	4533.112365
95	4529.160295
96	4525.063664
97	4519.385694
98	4514.485629
99	4511.696797
100	4507.133381
101	4502.331847
102	4498.223323
103	4495.554644
104	4492.28392
105	4483.644356
106	4480.970808
107	4479.114531
108	4472.408934
109	4468.99784
110	4464.560839
111	4463.74412
112	4462.514439
113	4459.398677
114	4452.627764
115	4449.911446
116	4445.306249
117	4443.470268
118	4441.383755
119	4435.311169
120	4432.488821
121	4429.003667
122	4425.747408
123	4422.021807
124	4418.566833
125	4417.156089
126	4413.256973
127	4408.269654
128	4403.685069
129	4400.94193
130	4399.193733
131	4396.511641
132	4390.545147
133	4386.886711
134	4381.544351
135	4372.919069
136	4366.304125
137	4364.280857
138	4362.874223
139	4360.022529
140	4357.512427
141	4355.45797
142	4350.871372
143	4348.339018
144	4347.155179
145	4343.647365
146	4336.625128
147	4333.868174
148	4331.078538
149	4329.859908
150	4325.260302
151	4322.172873
152	4320.534875
153	4317.122149
154	4313.999169
155	4310.700989
156	4308.732396
157	4305.186954
158	4297.153081
159	4296.00445
160	4288.538391
161	4285.388483
162	4280.235466
163	4278.585153
164	4276.874948
165	4274.134778
166	4270.444807
167	4268.199726
168	4262.630309
169	4260.094754
170	4257.69007
171	4255.328428
172	4249.748598
173	4248.199076
174	4247.142843
175	4242.954834
176	4241.080388
177	4238.283412
178	4236.477823
179	4233.142732
180	4230.745988
181	4225.014849
182	4222.82588
183	4218.400123
