iter	Passed	Remaining
0	123	123862
1	273	136320
2	613	203863
3	684	170419
4	841	167481
5	998	165457
6	1119	158763
7	1280	158821
8	1369	150828
9	1564	154839
10	1690	152023
11	1832	150836
12	1976	150027
13	2049	144340
14	2219	145723
15	2375	146086
16	2565	148321
17	2715	148152
18	2863	147851
19	3014	147711
20	3166	147600
21	3322	147685
22	3482	147909
23	3622	147323
24	3781	147486
25	3934	147385
26	4065	146516
27	4186	145341
28	4287	143552
29	4388	141898
30	4529	141570
31	4652	140730
32	4783	140177
33	4911	139556
34	4999	137839
35	5117	137036
36	5286	137578
37	5415	137097
38	5561	137049
39	5707	136982
40	5872	137350
41	6001	136886
42	6146	136788
43	6284	136552
44	6449	136878
45	6605	136986
46	6758	137033
47	6872	136306
48	7045	136749
49	7219	137177
50	7396	137633
51	7522	137149
52	7631	136351
53	7752	135816
54	7865	135140
55	8046	135634
56	8199	135658
57	8309	134952
58	8435	134544
59	8572	134296
60	8688	133742
61	8783	132891
62	8952	133149
63	9112	133272
64	9285	133573
65	9439	133579
66	9603	133729
67	9768	133879
68	9909	133702
69	10014	133051
70	10180	133211
71	10362	133561
72	10528	133693
73	10709	134008
74	10820	133448
75	10969	133363
76	11168	133877
77	11312	133725
78	11422	133163
79	11567	133027
80	11714	132911
81	11860	132784
82	11972	132277
83	12179	132819
84	12336	132795
85	12478	132623
86	12627	132511
87	12755	132188
88	12895	132001
89	13079	132243
90	13265	132509
91	13390	132160
92	13495	131616
93	13601	131093
94	13754	131033
95	13917	131052
96	14077	131049
97	14247	131134
98	14398	131044
99	14569	131126
100	14766	131440
101	14961	131719
102	15134	131806
103	15297	131797
104	15454	131733
105	15600	131573
106	15752	131463
107	15937	131635
108	16160	132104
109	16401	132701
110	16599	132945
111	16775	133008
112	16958	133113
113	17137	133194
114	17273	132927
115	17452	133001
116	17666	133328
117	17894	133753
118	18070	133782
119	18260	133911
120	18463	134125
121	18633	134098
122	18814	134146
123	18995	134192
124	19210	134472
125	19417	134689
126	19619	134862
127	19758	134606
128	19951	134708
129	20134	134744
130	20310	134729
131	20484	134699
132	20724	135098
133	20916	135176
134	21096	135172
135	21272	135142
136	21462	135196
137	21682	135438
138	21854	135369
139	22002	135160
140	22144	134907
141	22321	134872
142	22527	135007
143	22708	134991
144	22912	135106
145	23086	135040
146	23251	134920
147	23466	135092
148	23658	135124
149	23840	135096
150	23999	134939
151	24165	134816
152	24292	134484
153	24465	134402
154	24606	134142
155	24789	134118
156	24932	133875
157	25109	133808
158	25285	133745
159	25500	133876
